,0
hold wowo,2
wowo dapat,2
dapat airdrop,2
airdrop makansianggratis,2
neng banget,2
banget liat,2
liat para,2
para siswa,2
siswa bisa,2
bisa makanbergizigratis,4
makanbergizigratis di,2
di sekolah,4
sekolah moga,2
moga nanti,2
nanti bisa,2
bisa jadi,2
jadi biasa,2
biasa baik,2
baik terus,2
makansianggratis anak,2
anak sekolah,2
sekolah dapat,2
dapat lengkuas,2
lengkuas dek,2
dek yang,2
yang sabar,2
sabar yaa,2
yaa moga,2
moga makan,2
makan siang,8
siang ikut,2
ikut sdh,2
sdh dapat,2
dapat daging,2
daging ayamsapi,2
makanbergizigratis nih,2
benar makan,2
siang tuh,2
tuh pasti,2
pasti ada,2
ada di,2
di kantor,2
kantor beda,2
beda ada,2
ada yang,4
yang gratis,2
gratis sama,2
sama bayar,2
bayar kata,2
kata di,2
di adorbs,2
adorbs makansianggratis,2
makansianggratis kaya,2
kaya program,2
program perintah,2
perintah yang,2
yang itu,2
itu syarat,2
syarat dapetnya,2
dapetnya harus,2
harus tahan,2
tahan sama,2
sama laku,2
laku directors,2
directors kalau,2
kalau lagi,2
lagi maksi,2
note gue,2
gue masih,2
masih ajar,2
ajar dan,2
dan enggak,2
enggak dapat,2
dapat makansianggratis,6
makansianggratis tapi,2
tapi dengan,2
dengan uang,2
uang 10,2
10 ribu,4
ribu yang,2
yang gue,2
gue punya,2
punya gue,2
gue bisa,2
bisa beli,2
beli makan,2
siang di,2
di kantin,2
kantin sekolah,2
sekolah yang,2
yang enak,2
enak porsi,2
porsi cukup,2
cukup enggak,2
enggak basi,2
basi dan,2
dan pasti,2
pasti enggak,2
enggak bikin,2
bikin racun,2
kata gue,2
gue buat,2
buat lo,2
lo upper,2
upper class,2
class yang,2
yang bahkan,2
bahkan anak,2
anak lo,2
lo enggak,2
enggak kena,2
kena program,2
program makansianggratis,4
makansianggratis lo,2
lo diem,2
diem enggak,2
enggak usah,2
usah banyak,2
banyak bacot,2
bacot ya,2
ya allah,2
allah im,2
im so,2
so doomed,2
doomed living,2
living in,2
in this,2
this country,2
murahdulu nasi,2
nasi kotaksekarang,2
kotaksekarang mbg,2
hasil kaji,2
kaji tim,2
tim hore,2
hore prabowo,2
prabowo terimakasih,2
terimakasih pak,2
pak prabowo,2
prabowo kami,2
kami jadi,2
jadi kuat,2
kuat dan,2
dan pintar,2
pintar berkat,2
berkat makansianggratis,2
makansianggratis coba,2
coba kalau,2
kalau enggak,2
enggak ada,2
ada makansianggratis,2
makansianggratis beban,2
beban anak2,2
anak2 sekolah,2
sekolah ini,2
ini makin,2
makin berat,2
makan buat,2
buat para,2
para tahan,2
tahan jepang,2
jepang jauh,2
jauh lebih,2
lebih layak,2
layak dan,2
dan gizi,4
gizi daripada,2
daripada mbg,2
kami juga,2
juga pas,2
pas jaga,2
jaga angkat,2
angkat azka,2
azka dapat,2
dapat nasi,2
nasi box,6
box tapi,2
tapi nasi,2
box kami,2
kami tidak,2
tidak pernah,4
pernah potong,2
potong anggar,2
anggar di,2
di bawah,2
bawah 10k,2
10k per,2
per personil,2
personil tidak,2
pernah kasih,2
kasih bekas,2
bekas anggota,2
anggota lain,2
lain tidak,2
tidak pakai,2
pakai wadah,2
wadah yang,2
yang kurang,4
kurang bersih,2
bersih sementara,2
sementara yang,2
yang para,2
para ajar,2
ajar dapat,2
dapat untuk,2
untuk mbg,2
mbg ada,2
yang tidak,2
tidak higenis,2
selamat nikmat,2
nikmat malam,2
malam minggu,2
minggu tweehearts,2
tweehearts moga,2
moga puisi,2
puisi sapardi,2
sapardi djoko,2
djoko damono,2
damono ini,2
ini antar,2
antar ke,2
ke alam,2
alam mimpi,2
mimpi yang,2
yang indah,2
indah buah,2
buah makanbergizigratis,2
makanbergizigratis untuk,2
untuk jiwa,2
makansianggratis dengan,4
dengan formalitas,2
formalitas sortir,2
sortir fan,2
fan letter,2
letter nyammm,2
nyammm lejat,2
lejat dan,2
dan gunjing,2
box di,2
di samain,2
samain sama,2
sama mbg,2
mbg yang,2
yang harga,2
harga nya,2
nya paling,2
paling murah,2
murah saja,2
saja udah,2
udah ngga,2
ngga apple,2
apple to,2
to apple,2
aku mau,2
mau deh,2
deh dapat,2
dapat mbg,2
mbg kalau,2
kalau bisa,2
bisa punya,2
punya kuat,2
kuat sukuna,2
program ini,6
ini sangat,2
sangat penting,2
penting untuk,4
untuk jaga,2
jaga semangat,2
semangat dan,2
dan pikir,2
pikir yang,2
yang lebih,2
lebih fresh,2
fresh ini,2
ini lebih,6
lebih bagus,2
bagus dari,2
dari program,2
program mbg,12
siapa blng,2
blng psi,2
psi bungkam,2
bungkam lihat,2
lihat di,2
di x,2
x kader,2
kader psi,2
psi selalu,2
selalu posting,2
posting memujimuji,2
memujimuji bijak,2
bijak prabowo,2
prabowo seperti,2
seperti makanbergizigratis,2
makanbergizigratis yang,2
yang buat,2
buat kenyang,2
kenyang slrh,2
slrh ajar,2
ajar di,2
di indonesia,2
indonesia dan,2
dan sebar,2
sebar hasil,2
hasil survei,2
survei perintah,2
perintah prabowo,2
prabowo yang,2
yang baru,2
baru jalan,2
jalan 3,2
3 bulan,2
bulan tp,2
tp sdh,2
sdh mampu,2
mampu makmur,2
makmur rkyt,2
rencana budget,2
budget mbg,2
mbg itu,2
itu 420t,2
420t ambilmotong,2
ambilmotong budget,2
budget dari,2
dari mana,2
mana aja,2
aja jika,2
jika minggu,2
minggu abis,2
abis 8t,2
8t waste,2
waste foodnya,2
foodnya saja,2
saja bisa,2
bisa 2t,2
2t makan,2
makan terbuangndak,2
terbuangndak makan,2
makan udah,2
udah nutup,2
nutup buat,2
buat tukin,2
tukin tuh,2
udah dpt,2
dpt makansianggratis,2
makansianggratis lom,2
lom hari,2
hari ini,2
woi prabowo,2
prabowo mutual,2
mutual gua,2
gua perlu,2
perlu makansianggratis,2
makansianggratis juga,2
arti bijak,2
bijak perintah,2
perintah miss,2
miss malah,2
malah ngasih,2
ngasih makansianggratis,2
makansianggratis baik,2
baik buat,2
buat bijak,2
bijak agar,2
agar orang,2
orang tua,2
tua dari,2
dari para,2
para murid,2
murid bisa,2
bisa ngasih,2
ngasih makan,2
makan anak,2
kepala bgn,2
bgn pasti,2
pasti anggar,2
anggar mbg,2
mbg full,2
full dari,2
dari apbn,2
apbn dana,2
dana csr,2
csr buat,2
buat infrastruktur,2
infrastruktur mitra,2
mitra mantap,2
mantap lah,2
lah insyaallah,2
insyaallah selalu,2
selalu ada,2
ada saja,2
saja jalan,2
jalan untuk,2
untuk baik,2
baik allah,2
allah suka,2
suka halhal,2
halhal baik,2
buat bikin,2
bikin sekolah,2
sekolah garuda,2
garuda sama,2
sama makan,4
siang gratis,2
program makanbergizigratis,20
makanbergizigratis indonesia,2
indonesia tuju,2
tuju sedia,2
sedia makan,2
makan sehat,2
sehat dan,2
gizi untuk,2
untuk kelompok,2
kelompok rentan,2
rentan seperti,2
seperti anakanak,2
anakanak dengan,2
dengan ikut,2
ikut standar,2
standar gizi,2
gizi yang,2
yang tetap,2
tetap semangat,2
semangat untuk,2
untuk indonesia,2
indonesia sehat,2
jane program,2
mbg bagus,2
bagus lek,2
lek untuk,2
untuk untuk,2
untuk siswa2,2
siswa2 yang,2
kurang mampu,4
mampu yo,2
yo mosok,2
mosok kelas,2
kelas tra,2
tra kro,2
kro sinlui,2
sinlui diwei,2
diwei mbg,2
mbg yo,2
yo mending,2
mending njajan,2
njajan dewe,2
makanbergizigratis revolusioner,2
keren program,2
makanbergizigratis sudah,2
sudah jangkau,2
jangkau 31,2
31 provinsi,2
provinsi makanbergizigratis,2
kami lasekar,2
lasekar dari,2
dari puh,2
puh siap,2
siap kawal,2
kawal mbg,2
mbg huraaaaaaa,2
beneran bikin,2
bikin bahagia,2
bahagia liat,2
liat anakanak,2
anakanak di,2
sekolah bisa,2
makanbergizigratis moga,2
moga program,2
ini bisa,2
bisa dampak,4
dampak positif,2
positif buat,2
buat generasi,2
generasi datang,2
makanya lucu,2
lucu bgt,2
bgt bela,2
bela si,2
si istri,2
istri dengan,2
dengan produk,2
produk okky,2
okky jely,2
jely drinknya,2
drinknya pdhal,2
pdhal mbg,2
mbg bkn,2
bkn program,2
program makan,2
makan utk,2
utk anak2,4
anak2 lapar,2
lapar tp,2
tp program,2
program tingkat,2
tingkat gizi,2
gizi utk,2
anak2 demi,2
demi goals,2
goals generasi,2
generasi yang,2
yang sehat,2
sehat utk,2
utk indonesia,2
indonesia emas,2
emas 2045,2
2045 tp,2
tp dr,2
dr menu,2
menu saja,2
saja rata2,2
rata2 malah,2
malah prihatin,2
walaupun gw,2
gw kurang,2
kurang tuju,2
tuju mbg,2
mbg tp,2
tp dapat,2
dapat ibu,2
ibu ini,2
lebih masuk,2
masuk akal,2
akal drpada,2
drpada bapak,2
bapak yang,2
yang usul,2
usul zakat,2
zakat buat,2
buat mbg,2
betul mas,2
mas adi,2
adi komplain,2
komplain anaksoal,2
anaksoal menu,2
menu mbg,4
mbg untuk,2
untuk depan,2
depan mbg,2
mbg lebih,2
lebih baik,2
baik lebih,2
lebih mutu,2
mutu lebih,2
lebih enak,2
enak lebih,2
lebih sehat,2
sehat gizi,2
gizi bukan,2
bukan kritik,2
kritik komplain,2
komplain kurang,2
kurang mensyukuritdk,2
mensyukuritdk syukur,2
syukur dengan,2
dengan program,2
mbg ingat,2
ingat puluh,2
puluh juta,2
juta rakyat,2
rakyat enggak,2
enggak duli,2
duli dengan,2
dengan rasa,2
rasa menu,2
menu makan,2
makan mrk,2
mrk butuh,2
butuh makan,2
makan yang,2
yang penting,2
penting makan,2
mantap banget,6
banget program,4
makanbergizigratis dan,14
dan rumah,14
rumah emang,8
emang bikin,2
bikin sejahtera,2
sejahtera rakyat,2
rakyat tingkat,2
kalau mahasiswa,2
mahasiswa nggak,2
nggak dapat,2
makansianggratis aku,2
aku lebih,2
lebih pilih,2
pilih ini,2
ini sih,2
sih tiap,2
tiap hamil,2
hamil aura,2
aura cantikcantik,2
anabul ku,2
ku yang,2
yang hari,2
hari makan,2
makan lebih,2
lebih dr,2
dr 10k,2
10k ketawa,2
ketawa liat,2
liat program,2
mbg nice,2
nice woooo,2
woooo program,2
mbg dan,4
emang keren,2
keren banget,4
banget buat,2
buat ngentaskan,2
ngentaskan miskin,2
samasama semangat,2
semangat terus,2
terus dalam,2
dalam cepat,2
cepat entas,2
entas miskin,8
miskin lalu,2
lalu sinergi,2
sinergi yang,4
yang baik,2
baik antara,2
antara program,4
makanbergizigratis mbg,2
mbg amp,2
amp program,2
program per,2
before i,2
i sleep,2
sleep kook,2
kook bisa,2
bisa yaa,2
yaa anak,2
anak dari,2
dari dpr,2
dpr once,2
once again,2
again dpr,2
dpr ikut,2
ikut komen,2
komen mbg,2
mbg dengan,2
dengan statement,2
statement harus,2
harus syukur,2
syukur walaupun,2
walaupun enggak,2
enggak suka,2
suka sama,2
makan broo,2
broo wtf,2
wtf u,2
u can,2
can see,2
see the,2
the fckn,2
fckn meal,2
meal box,2
box dude,2
dude how,2
how tragically,2
tragically the,2
the food,2
food istheres,2
istheres nothing,2
nothing nutrition,2
nutrition on,2
on that,2
malem2 masih,2
masih pikir,2
pikir sm,2
sm korelasi,2
korelasi menu,2
mbg nasi,2
nasi kotak,2
kotak di,2
di lokasi,2
lokasi syuting,2
syuting dan,2
dan konsep,2
konsep syukur,2
syukur kenapa,2
kenapa standar,2
standar jadi,2
jadi harus,2
harus ngikutin,2
ngikutin anak,2
anak sm,2
sm bini,2
