,assigned_clusters,word,count
0,2.0,anggar,10
1,2.0,rakyat,10
2,2.0,bantu,9
3,2.0,dana,9
4,2.0,hasil,7
5,2.0,daerah,7
6,2.0,prabowo,6
7,2.0,uang,6
8,2.0,triliun,6
9,2.0,presiden,5
10,2.0,5,5
11,2.0,laksana,5
12,2.0,perintah,5
13,2.0,rp,5
14,2.0,gas,5
15,2.0,gizi,4
16,2.0,pemda,4
17,2.0,sekolah,4
18,2.0,jalan,4
19,2.0,efisiensi,4
0,4.0,anak,10
1,4.0,menu,6
2,4.0,perintah,5
3,4.0,si,5
4,4.0,video,4
5,4.0,sekolah,4
6,4.0,azka,4
7,4.0,banget,4
8,4.0,bikin,3
9,4.0,tu,3
10,4.0,pake,3
11,4.0,banding,3
12,4.0,ni,3
13,4.0,2,3
14,4.0,vendor,3
15,4.0,sih,3
16,4.0,nasi,3
17,4.0,gua,3
18,4.0,dipake,2
19,4.0,gue,2
0,7.0,anak,6
1,7.0,gue,5
2,7.0,bikin,5
3,7.0,utk,5
4,7.0,negara,4
5,7.0,kocak,4
6,7.0,jd,3
7,7.0,racun,3
8,7.0,coba,3
9,7.0,anakanak,3
10,7.0,komen,3
11,7.0,enak,3
12,7.0,pas,3
13,7.0,gmn,3
14,7.0,jepang,3
15,7.0,buka,3
16,7.0,mending,3
17,7.0,bilang,3
18,7.0,sakit,3
19,7.0,biar,2
0,0.0,anak,7
1,0.0,anggar,6
2,0.0,tuh,5
3,0.0,gizi,5
4,0.0,tuju,5
5,0.0,miskin,5
6,0.0,daerah,5
7,0.0,lokal,5
8,0.0,bagus,5
9,0.0,menu,5
10,0.0,butuh,5
11,0.0,udah,5
12,0.0,coba,5
13,0.0,masuk,4
14,0.0,lihat,4
15,0.0,utama,4
16,0.0,orang,4
17,0.0,banget,4
18,0.0,jd,4
19,0.0,beda,4
0,5.0,anak,11
1,5.0,gizi,11
2,5.0,prabowo,8
3,5.0,sekolah,7
4,5.0,orang,7
5,5.0,indonesia,6
6,5.0,gue,6
7,5.0,gaji,6
8,5.0,nasi,6
9,5.0,uang,5
10,5.0,potong,5
11,5.0,anggar,5
12,5.0,sehat,5
13,5.0,menu,5
14,5.0,mas,5
15,5.0,kaya,4
16,5.0,dapet,4
17,5.0,anakanak,4
18,5.0,perintah,4
19,5.0,udah,4
0,1.0,udah,5
1,1.0,butuh,3
2,1.0,anak,2
3,1.0,enak,2
4,1.0,anggar,2
5,1.0,gitu,2
6,1.0,dapet,2
7,1.0,orang,2
8,1.0,kuliah,1
9,1.0,nih,1
10,1.0,konsep,1
11,1.0,gizi,1
12,1.0,kenyang,1
13,1.0,nenek,1
14,1.0,moyang,1
15,1.0,eh,1
16,1.0,tu,1
17,1.0,uda,1
18,1.0,dibawain,1
19,1.0,bekal,1
0,3.0,perintah,12
1,3.0,gizi,12
2,3.0,indonesia,11
3,3.0,rumah,10
4,3.0,anak,9
5,3.0,bikin,9
6,3.0,anakanak,6
7,3.0,banget,6
8,3.0,sekolah,5
9,3.0,sehat,5
10,3.0,menu,5
11,3.0,tuju,5
12,3.0,orang,5
13,3.0,keren,5
14,3.0,mantap,5
15,3.0,miskin,5
16,3.0,generasi,4
17,3.0,anak2,4
18,3.0,sampe,4
19,3.0,nama,4
0,6.0,prabowo,8
1,6.0,anak,5
2,6.0,corbuzier,4
3,6.0,bicara,4
4,6.0,perintah,3
5,6.0,iya,3
6,6.0,deddy,3
7,6.0,psi,2
8,6.0,lihat,2
9,6.0,x,2
10,6.0,indonesia,2
11,6.0,gw,2
12,6.0,komenin,2
13,6.0,banget,2
14,6.0,ngeluh,2
15,6.0,enak,2
16,6.0,presiden,2
17,6.0,bikin,2
18,6.0,mantan,2
19,6.0,dr,2
