id,edit_history_tweet_ids,created_at,text,author_id
1886097050036740566,['1886097050036740566'],2025-02-02T16:59:13.000Z,"Program MBG jangan hanya untuk memenuhi janji kampanye, tetapi harus dengan kajian yang komprehensif. Bila pelaksanaan tidak cermat bisa saja  timbul permasalahan baru terkait penggunaan anggaran distribusi maupun substansi menu makan yang beragam,bergizi, seimbang,aman dan halal",336144996
1886096945913221560,['1886096945913221560'],2025-02-02T16:58:48.000Z,Tanggapan anak SMA terhadap program makan siang gratis #makansianggratis... https://t.co/TbdTVse1oS lewat @YouTube,1460164345225117697
1886096743244403004,['1886096743244403004'],2025-02-02T16:58:00.000Z,@kartikaji iya...multiplier effect nya cuman ke vendor MBG 🙈🙈.... MBG lelang gak sih??gak mungkin swakelola kan...yg ambil vendor soale,39253982
1886096717692785069,['1886096717692785069'],2025-02-02T16:57:54.000Z,@AgungLa03498428 @kompascom @tribunnews semoga gizi anak-anak semakin terpenuhi dengan adanya MBG,1663461185587658753
1886096268675649853,['1886096268675649853'],2025-02-02T16:56:07.000Z,@OggyZilly43173 @kompascom @kumparan @tribunnews semoga gizi anak-anak semakin terpenuhi dengan adanya MBG,1663461185587658753
1886096104082846045,['1886096104082846045'],2025-02-02T16:55:27.000Z,"@hnirankara mas , yg mau bayar lho banyak mas , kok kamu mikir gratis , makan bergizi gratis di nyinyirin , toll bayar juga di nyinyirin? trus maunya makan bergizi bayar - toll nya yg gratis gitu taa ?? gimana kamu mas , lagipula sejak jaman siapa toll gratis mas ?",1186247602708205568
1886095328287617525,['1886095328287617525'],2025-02-02T16:52:22.000Z,"@salmonchizumiso @tanyarlfes Hal yang gak tepat sasaran memang sering terjadi ditiap progam kak, kebijakan anggaran yang terbatas juga berpengaruh, tapi kalau mau diperbaiki, perangkat daerah sana juga harus bisa bantu pemerintah menyeleksi sekolah mana yang paling membutuhkan MBG tsb",1329427643930869761
1886095286600425727,['1886095286600425727'],2025-02-02T16:52:12.000Z,"@CNNIndonesia Naik kemana hadeuh loh ya kalo memang harus di evaluasi kembali program ini ya di evaluasi dan di revisi, fokuskan MBG ke daerah2x pelosok, daerah miskin dan tertinggal yang bener2x membutuhkan",1486658974388678656
1886095126747115931,['1886095126747115931'],2025-02-02T16:51:34.000Z,"@Mdy_Asmara1701 Alasan agar tepat sasaran, tapi malah menyusahkan rakyat. 
MBG apa sudah tepat sasaran ? Anak orang kaya naik mobil Alphard, Pajero, Fortuner ke sekolah dikasih MBG malah jijik. Kalau MBG utk daerah tertinggal/miskin okelah.
Wo Wo... gimana program mu nih..
Menterinya pun bego..",1217745302502821892
1886094722013507667,['1886094722013507667'],2025-02-02T16:49:58.000Z,"Anak Harus Cukup Makan: Prabowo dan Misi Makan Bergizi Gratis Sejak 2006! 

https://t.co/E7COqNEkqk",833782256837681152
1886094560969081232,['1886094560969081232'],2025-02-02T16:49:19.000Z,@soundofrae Butuh makan siang gratis ✨️,1426885379571863552
1886093680882417666,['1886093680882417666'],2025-02-02T16:45:50.000Z,"BGN Sosialisasi Makan Bergizi Gratis, Alifudin PKS: Harus Perhatikan Kualitas

https://t.co/wO6TbwmBmQ",79130206
1886093216883282235,['1886093216883282235'],2025-02-02T16:43:59.000Z,"@tanyarlfes karena subsidi buat lpgnya mo dicabut, dipake buat program makan siang gratis... thanks to kaum 52 ye😏",134693208
1886092713730412957,['1886092713730412957'],2025-02-02T16:41:59.000Z,79 th Indonesia merdeka dan 10 thn pemerintahan Jokowi cuma bikin masyarakat dan anak2 lapar kurang gizi ..... Anwar Abbas Wanti-wanti MBG Jangan Sampai Jadi “Program Kenyang” Buat Konglomerat! https://t.co/zMvWxQnZvu,1754796187893514240
1886092608352743569,['1886092608352743569'],2025-02-02T16:41:34.000Z,"@wannafigh @eexxoo_7 kalo saya pelajari Indonesia sdh jatuh di tangan GE sejak 1965.
sama seperti Jepang. secara publik Jepang Negara berdaulat tapi di belakang sdh di rante seperti seekor kuda gak bisa melawan. 
Melawan... Tsunami Aceh.
 MBG itu agenda GE. 
Mentri kesehatan... tahu khan?",1154478487
1886092287425622524,['1886092287425622524'],2025-02-02T16:40:17.000Z,@kegblgnunfaedh Njay tangannya udah siap nabok orang yang bilang makan siang gratis ga enak,1852573739248160768
1886091874873770331,['1886091874873770331'],2025-02-02T16:38:39.000Z,"@tanyakanrl harusnya akar masalahnya yg diselesaikan, makan siang gratis itu solusi yg kurang tepat.",1129876343276081154
1886091542806597728,['1886091542806597728'],2025-02-02T16:37:20.000Z,"MBG Pertumbuhan Ekonomi, Hasim Pede Ekonomi Tumbuh 9 Persen Berkat Makan Bergizi Gratis #MBGDorongEkonomi https://t.co/3WVEuKbJf7",1283264969513906176
